research_order,batch,source_priority_rank,season,team_id,candidate_coach_name,starting_status,ending_status,coach_id,coach_canonical_name,start_week,end_week,interval_status,is_shared,source_url,corroborating_source_url,source_title,source_publisher,publication_date,source_family,evidence_locator,evidence_summary,proves_identity,proves_initial_designation,proves_continuity,proves_transition,proves_shared_duties,contradictory_evidence,research_notes,recoverability,disposition
38,dynamic_batch_2,38,2022,CHI,Luke Getsy,provisional,verified,coach-luke-getsy,Luke Getsy,1,18,verified,false,https://www.chicagobears.com/news/getsy-eager-to-establish-culture-philosophy-justin-fields,https://www.chicagobears.com/news/poles-talks-bears-bills-on-pregame-radio-show-christmas-eve-week-16-2022,Getsy eager to establish culture and philosophy,Chicago Bears,2022-02-16,official_team,preseason caller responsibility and Week 16 role review,Getsy was assigned the calls and remained the documented offensive decision-maker through Week 16 with no handoff.,true,true,true,false,false,,Official boundary evidence supports the season.,high,accepted
39,dynamic_batch_2,39,2022,LA,Sean McVay,provisional,verified,coach-sean-mcvay,Sean McVay,1,18,verified,false,https://www.therams.com/news/kevin-oconnell-excited-to-see-liam-coen-take-on-role-of-rams-offensive-coordina,https://www.nfl.com/news/new-rams-oc-mike-lafleur-i-can-t-wait-to-start-building-relationship-with-qb-mat,Kevin O'Connell excited to see Liam Coen become Rams offensive coordinator,Los Angeles Rams,2022-03-02,official_team,caller-role distinction and next-season retrospective,Official and NFL sources distinguish McVay as the caller from his coordinators and describe the same arrangement across 2022.,true,true,true,false,false,,The coordinator did not inherit calling responsibility.,high,accepted
40,dynamic_batch_2,40,2020,CAR,Joe Brady,provisional,verified,coach-joe-brady,Joe Brady,1,17,verified,false,https://www.panthers.com/news/get-to-know-new-offensive-coordinator-joe-brady,https://www.panthers.com/news/panther-talk-recap-learning-to-win,Get to know new offensive coordinator Joe Brady,Carolina Panthers,2020-01-16,official_team,initial caller assignment and November direct review,Brady was assigned play-calling and remained the documented caller late in the regular season.,true,true,true,false,false,,Opening and late-season evidence support continuity.,high,accepted
41,dynamic_batch_2,41,2022,TEN,Todd Downing,provisional,provisional,coach-todd-downing,Todd Downing,1,18,provisional,false,https://www.tennesseetitans.com/news/offensive-coordinator-todd-downing,https://www.tennesseetitans.com/news/titans-part-ways-with-four-assistant-coaches-including-oc-todd-downing,Offensive coordinator Todd Downing press conference,Tennessee Titans,2022-08-09,official_team,preseason caller evidence and post-season departure,Downing is directly associated with the calls but the source set does not establish uninterrupted weekly continuity.,true,true,false,false,false,,The title alone is not relied upon; continuity remains insufficient.,possible,rejected_full_verification
42,dynamic_batch_2,42,2020,DET,Darrell Bevell,provisional,verified,coach-darrell-bevell,Darrell Bevell,1,15,verified,false,https://www.detroitlions.com/news/what-to-expect-from-lions-offense-after-coaching-change-stafford-swift,https://www.detroitlions.com/news/lions-shuffle-coaching-staff-ahead-of-saturday-s-game-bevell-prince-ryan,What to expect from Lions offense after coaching change,Detroit Lions,2020-12-02,official_team,normal caller role and Week 16 COVID exception,Bevell described his leeway running the offense and the team explicitly installed a substitute caller only for Week 16.,true,false,true,true,false,,The temporary exception bounds Bevell through Week 15.,high,accepted
42,dynamic_batch_2,42,2020,DET,Darrell Bevell,provisional,verified,coach-sean-ryan,Sean Ryan,16,16,verified,false,https://www.detroitlions.com/news/lions-shuffle-coaching-staff-ahead-of-saturday-s-game-bevell-prince-ryan,,Lions shuffle coaching staff ahead of Saturday's game,Detroit Lions,2020-12-24,official_team,explicit Week 16 COVID substitute,Ryan was explicitly assigned to call the offensive plays in Week 16 while Bevell was unavailable.,true,false,false,true,false,,One-game temporary replacement.,high,accepted
42,dynamic_batch_2,42,2020,DET,Darrell Bevell,provisional,verified,coach-darrell-bevell,Darrell Bevell,17,17,verified,false,https://www.detroitlions.com/news/key-questions-will-stafford-play-in-season-finale-vs-vikings,https://www.detroitlions.com/news/lions-shuffle-coaching-staff-ahead-of-saturday-s-game-bevell-prince-ryan,Will Stafford play in season finale vs Vikings,Detroit Lions,2020-12-28,official_team,return after temporary Week 16 caller absence,Bevell returned as the normal offensive caller for the Week 17 finale after the explicitly one-game COVID substitution.,true,false,true,true,false,,The return closes the temporary caller exception.,high,accepted
43,dynamic_batch_2,43,2022,CAR,Ben McAdoo,provisional,provisional,coach-ben-mcadoo,Ben McAdoo,1,18,provisional,false,https://www.panthers.com/news/ben-mcadoo-sees-avenue-to-win-on-offense,https://www.panthers.com/news/ota-notebook-ben-mcadoo-preaching-tlc-matt-corral,Ben McAdoo sees avenue to win on offense,Carolina Panthers,2022-04-19,official_team,preseason play-caller designation,McAdoo is explicitly identified as the incoming caller but later continuity after the head-coach change is not independently established.,true,true,false,false,false,Matt Rhule's in-season dismissal creates a continuity checkpoint.,The caller identity is strong but the full-season interval is not.,possible,rejected_full_verification
44,dynamic_batch_2,44,2020,GB,Matt LaFleur,provisional,verified,coach-matt-lafleur,Matt LaFleur,1,17,verified,false,https://www.packers.com/news/packers-offense-is-mentally-dialed-in,https://www.packers.com/news/5-things-learned-from-the-nfl-annual-meetings-day-2,Packers offense is mentally dialed in,Green Bay Packers,2020-12-07,official_team,late-season offensive caller context and multi-season continuity,Official late-season and later continuity material identify LaFleur as the Packers caller throughout his tenure including 2020.,true,false,true,false,false,,No handoff is reported and the later direct statement covers continuity.,high,accepted
45,dynamic_batch_2,45,2020,NE,Josh McDaniels,provisional,verified,coach-josh-mcdaniels,Josh McDaniels,1,17,verified,false,https://www.nfl.com/news/joe-judge-matt-patricia-taking-on-new-duties-as-patriots-remain-without-official,https://www.patriots.com/news/patriots-unfiltered-q-a-post-minicamp-thoughts,Joe Judge and Matt Patricia taking on new duties,NFL,2022-05-23,nfl_league,retrospective continuous caller tenure,NFL and Patriots material state McDaniels ran and called New England's offense continuously from 2012 through 2021.,true,false,true,false,false,,The tenure statement directly includes 2020.,high,accepted
46,dynamic_batch_2,46,2021,SEA,Shane Waldron,provisional,verified,coach-shane-waldron,Shane Waldron,1,18,verified,false,https://www.seahawks.com/news/new-oc-shane-waldron-talks-tempo-calling-plays-more-after-first-week-of-seahawks,https://www.seahawks.com/news/challenge-of-calling-plays-balancing-the-offense-other-things-we-learned-from-sh,New OC Shane Waldron talks tempo and calling plays,Seattle Seahawks,2021-05-13,official_team,initial caller assignment and late-season role review,Waldron was assigned the calls and discussed the duty late in his first Seattle season.,true,true,true,false,false,,Official boundary evidence supports continuity.,high,accepted
47,dynamic_batch_2,47,2020,NYJ,Adam Gase,provisional,partial,coach-adam-gase,Adam Gase,1,6,verified,false,https://www.nfl.com/_amp/adam-gase-gives-up-play-calling-vs-bills-jets-still-fall-to-0-7,https://www.newyorkjets.com/news/dowell-loggains-gets-the-jets-play-calling-call-for-a-2nd-game,Adam Gase gives up play-calling versus Bills,NFL,2020-10-26,nfl_league,retrospective handoff after Week 6,Gase's decision to give up play-calling after six games bounds Weeks 1-6.,true,false,true,true,false,,Exact opening interval is verified.,high,accepted_partial
47,dynamic_batch_2,47,2020,NYJ,Adam Gase,provisional,partial,coach-dowell-loggains,Dowell Loggains,7,9,verified,false,https://www.newyorkjets.com/news/dowell-loggains-gets-the-jets-play-calling-call-for-a-2nd-game,https://www.cbssports.com/nfl/news/jets-adam-gase-says-dowell-loggains-will-remain-teams-play-caller-for-week-9-showdown-with-patriots/,Dowell Loggains gets Jets play-calling call for a second game,New York Jets,2020-10-29,official_team,Week 7 handoff through confirmed Week 9,Official and contemporaneous reports identify Loggains as caller for Weeks 7-9.,true,false,true,true,false,,The interval stops at the final directly bounded week.,high,accepted_partial
47,dynamic_batch_2,47,2020,NYJ,Adam Gase,provisional,partial,coach-adam-gase,Adam Gase,10,17,provisional,false,https://www.nfl.com/news/jets-ceo-christopher-johnson-sick-of-losing-sam-darnold-joe-douglas,,Jets CEO sick of losing,NFL,2021-01-04,nfl_league,retrospective statement that Gase took duties back,The retrospective supports a return but does not provide a defensible exact weekly boundary for the remaining interval.,true,false,false,true,false,Available reports disagree or omit the exact hand-back week.,Weeks 10-17 remain provisional and are excluded from PCAE.,possible,rejected_full_verification
48,dynamic_batch_2,50,2022,LAC,Joe Lombardi,provisional,verified,coach-joe-lombardi,Joe Lombardi,1,18,verified,false,https://www.nfl.com/news/chargers-fire-oc-joe-lombardi-following-playoff-collapse-vs-jaguars,https://static.clubs.nfl.com/image/upload/chargers/l7nksa8ewteme1mff6v2,Chargers fire OC Joe Lombardi following playoff collapse,NFL,2023-01-17,nfl_league,postseason two-season caller tenure,NFL identifies Lombardi's two seasons calling the Chargers offense and places his departure after the 2022 season.,true,false,true,false,false,,The retrospective explicitly spans 2021-22.,high,accepted
49,dynamic_batch_2,52,2021,LAC,Joe Lombardi,provisional,verified,coach-joe-lombardi,Joe Lombardi,1,18,verified,false,https://www.nfl.com/news/chargers-fire-oc-joe-lombardi-following-playoff-collapse-vs-jaguars,https://static.clubs.nfl.com/image/upload/chargers/az0wikceqs9ahot7y31m,Chargers fire OC Joe Lombardi following playoff collapse,NFL,2023-01-17,nfl_league,postseason two-season caller tenure,NFL identifies Lombardi's two seasons calling the Chargers offense beginning in 2021.,true,true,true,false,false,,The retrospective explicitly spans 2021-22.,high,accepted
50,dynamic_batch_2,61,2021,MIA,Eric Studesville and George Godsey,provisional,provisional,coach-eric-studesville,Eric Studesville,1,18,provisional,false,https://www.nfl.com/news/dolphins-naming-eric-studesville-and-george-godsey-as-offensive-co-coordinators,https://www.miamidolphins.com/news/miami-dolphins-announce-coaching-staff-changes,Dolphins naming Eric Studesville and George Godsey as offensive co-coordinators,NFL,2021-02-02,nfl_league,preseason co-coordinator announcement with unresolved caller split,The source names Studesville as a co-coordinator but explicitly says it was unclear how play-calling would break down; it does not prove actual caller responsibility.,false,false,false,false,false,The contemporaneous source says the play-calling split was unclear.,Retained as provisional ambiguity and excluded from individual PCAE.,possible,rejected_full_verification
50,dynamic_batch_2,61,2021,MIA,Eric Studesville and George Godsey,provisional,provisional,coach-george-godsey,George Godsey,1,18,provisional,false,https://www.nfl.com/news/dolphins-naming-eric-studesville-and-george-godsey-as-offensive-co-coordinators,https://www.miamidolphins.com/news/miami-dolphins-announce-coaching-staff-changes,Dolphins naming Eric Studesville and George Godsey as offensive co-coordinators,NFL,2021-02-02,nfl_league,preseason co-coordinator announcement with unresolved caller split,The source names Godsey as a co-coordinator but explicitly says it was unclear how play-calling would break down; it does not prove actual caller responsibility.,false,false,false,false,false,The contemporaneous source says the play-calling split was unclear.,Retained as provisional ambiguity and excluded from individual PCAE.,possible,rejected_full_verification
